"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Adjusted net national income (current US$)","NY.ADJ.NNTY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","360539974.815859","426760764.37061","520903592.390509","614602067.687552","681714186.775874","777773431.464387","853591076.430143","957802226.90054","1100813198.04008","1162779481.68661","1211352903.9497","1336120379.06438","1474624108.32195","1505265089.09647","1657970730.82031","1665128463.28617","1606818647.42653","1762277437.65697","1926349153.31232","1625323791.72775","2081395223.90593","1972904908.41537","2360562592.71728","2171616245.71763","2016151417.97053","2046631495.42671","2163427816.84036","2265569218.61553","2384794569.19549","2490398697.64754","2521154015.95827","2567573652.7694","","","",
"Africa Eastern and Southern","AFE","Adjusted net national income (current US$)","NY.ADJ.NNTY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","98649727633.0913","109776779775.454","135410305519.325","146235769688.786","153276978548.745","170795765630.583","183195978529.554","180798227989.055","179474739004.474","181838616250.479","205988337375.235","208603821763.556","220112362673.734","208128941605.46","205515574650.89","220748243202.907","196071783544.721","199485622092.054","266006678039.632","328475012573.036","376629793197.838","413655134094.148","458205683913.962","464842287448.181","517506310410.681","604277751988.602","678817107911.803","712483851921.104","728772506085.245","760826583950.287","739579299214.952","697137535323.882","777070434548.118","789261110631.847","790915968371.767","",
"Afghanistan","AFG","Adjusted net national income (current US$)","NY.ADJ.NNTY.CD","","","","","","","","","","","1687850202.68947","1767940157.11357","1547062693.72489","1676879625.39579","2078664620.80413","2271260055.86289","2447848170.44432","2826878752.69446","3160873879.74408","3521297663.73416","3449695155.89276","3312012008.84175","","","","","","","","","","","","","","","","","","","","","","","","","","","","11682412150.5387","14939998018.7829","16777829531.6996","18861707735.3748","19447328094.3288","19383671893.2325","19039855340.6274","17305951275.5143","18214418737.5489","17594190732.1325","18649298572.1356","",
"Africa Western and Central","AFW","Adjusted net national income (current US$)","NY.ADJ.NNTY.CD","","","","","","","","","","","24857582504.7318","17942798491.0137","21826640659.5807","26368570551.4146","34297602405.319","41969108494.6481","52205004754.3066","51760804241.6986","56603680623.4227","60450669993.8443","81063473031.4319","178309909757.247","161143712107.827","117177509578.833","94526411623.3416","94355216945.434","89825105183.7145","89639433656.9449","92114384431.5369","78955846179.044","91112309276.5482","93947887882.7513","91383417860.6478","73767822101.6363","68708215473.6993","83816336304.9642","92500590238.0388","95451207266.4445","101569477132.526","107997767765.834","98910590134.1543","111306629081.35","135968822046.565","155071576096.544","185904149334.134","221840298061.687","296675744103.505","347319996180.059","415542663179.803","389306260262.797","438733891864.573","479774701019.627","534840331950.404","620270896397.088","670369656132.324","627278956323.417","571470990522.426","552340771566.57","583906927991.161","636616618833.505","",
"Angola","AGO","Adjusted net national income (current US$)","NY.ADJ.NNTY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","5198220619.78288","5588100827.77156","4903872817.69789","4800315350.13864","7285394247.58471","6419904627.09931","8189316141.74773","845992308.940351","1246722150.20778","354280110.300374","2602930450.67858","2654372952.07793","3872081056.62708","4139030482.97435","2609972259.64727","3399877878.49441","4498556956.02027","9793928457.85723","12019947550.4619","12684967307.4976","17842150742.516","25088111771.997","28798860022.2385","27951332309.4485","39514257954.0128","40695938951.1284","55362146875.185","68621211332.6228","79445137953.7051","93490724979.8436","86972303354.0561","75964641772.5305","85480641693.412","61636421304.8371","54113143405.6325","",
"Albania","ALB","Adjusted net national income (current US$)","NY.ADJ.NNTY.CD","","","","","","","","","","","","","","","","","","","","","","","","","1350439031.15642","1369606171.27152","1669360013.42137","1597753161.20027","1583665139.99188","1707859353.9417","1561871171.31808","819677920.530365","451977146.273565","1023713660.80934","1633118401.45833","2130968985.79185","2895697071.01003","2021947921.8405","2342179098.42151","2947970545.17556","3211018419.92975","3649170531.1413","4002770013.27013","5177890903.01325","6566689986.82562","7338944240.45227","8193785639.22072","9595438182.5129","11301420124.159","10290752652.434","10190743725.7709","10846764003.6072","10175711201.7362","10900546594.0819","11123205138.2531","9426795636.13788","9917729742.00647","10697748755.0788","12400890188.4463","12328642743.2557","",
"Andorra","AND","Adjusted net national income (current US$)","NY.ADJ.NNTY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Adjusted net national income (current US$)","NY.ADJ.NNTY.CD","","","","","","","","","","","","","","","","","","","","","210692057208.202","236864464813.417","244794915117.85","233622928981.778","233787334858.84","232653281798.527","233674196996.352","241311262422.396","244140457534.158","247652059182.879","352476839531.986","348226054649.109","384106544795.188","386516594072.321","389318475175.929","423257225203.446","463885355960.464","496385270351.506","495730270900.493","524524046012.021","569985225774.845","577604298791.849","587729772688.094","648033191356.331","752685819266.277","888801980199.695","1068083950418.26","1269333060005.33","1572137691092.64","1418248683895.58","1641852541635.18","1904190403530.46","2137961499387.02","2235698642246.27","2300078830836.69","2096219619467.83","2074263605867.18","2083345174232.12","2239665284917.92","2301395014083.78","",
"United Arab Emirates","ARE","Adjusted net national income (current US$)","NY.ADJ.NNTY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95418089295.2363","95924463551.4301","98108396331.2387","109812583702.048","130986218043.48","152812677112.613","190351670080.602","226263074436.148","264964764104.919","216816516547.281","260762804253.55","309086301025.09","329580881766.239","348707628572.341","362193757505.075","330186113074.069","332111554663.34","357994350192.906","385430708179.014","384038141822.746","",
"Argentina","ARG","Adjusted net national income (current US$)","NY.ADJ.NNTY.CD","","","","","","","","","","","28530889258.6175","31567585213.4528","31923194985.0713","49254295660.9672","67247485701.917","48874960091.4284","46811595553.2748","51762657753.5696","52637293278.8123","61159996485.4303","67169807616.7579","67853585655.0648","71184390300.4883","88531337820.1385","67396941969.3257","75209802000.9882","97452370100.2515","96819336007.103","110394040843.021","61857887306.4471","120392341742.325","166509909027.172","203496126190.22","210276990369.425","226445097376.802","222814937976.117","236105598193.814","252440235278.945","256760574877.983","239073889627.343","237361979420.665","223514183897.641","74738466669.4665","102026991892.62","122115152328.156","146889029196.588","191322520339.574","242010939265.53","303206788538.357","276685908799.019","351392109749.879","440994816699.041","451876624133.205","457323376239.387","435774740904.829","503664418950.855","470934742333.791","550460178091.615","430564891145.674","366725596152.487","",
