Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,CO2 emissions (kt),EN.ATM.CO2E.KT,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Azerbaijan,AZE,CO2 emissions (kt),EN.ATM.CO2E.KT,57520.0,67030.0,44620.0,53520.0,47580.0,45770.0,40380.0,39470.0,39390.0,38780.0,40010.0,38720.0,38130.0,34340.0,34090.0,36650.0,34170.0,27510.0,29580.0,25140.0,24150.0,28560.0,30760.0,31390.0,32630.0,32170.0,32660.0,31970.0,32020.0,32020.0,32020.0
Burundi,BDI,CO2 emissions (kt),EN.ATM.CO2E.KT,190.0,230.0,200.0,210.0,210.0,220.0,220.0,230.0,230.0,230.0,260.0,210.0,220.0,170.0,160.0,160.0,190.0,190.0,200.0,200.0,320.0,370.0,390.0,410.0,390.0,410.0,460.0,570.0,590.0,590.0,590.0
Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,109310.0,113960.0,112330.0,110110.0,114900.0,114570.0,119450.0,116640.0,119410.0,115510.0,117280.0,118340.0,110850.0,115500.0,114020.0,110610.0,108650.0,104590.0,106930.0,99670.0,106470.0,95570.0,94960.0,96610.0,90160.0,95200.0,94320.0,92770.0,93470.0,93470.0,93470.0
Benin,BEN,CO2 emissions (kt),EN.ATM.CO2E.KT,380.0,330.0,360.0,420.0,400.0,460.0,1050.0,1240.0,1300.0,1420.0,1530.0,1840.0,2120.0,2380.0,2530.0,2780.0,3830.0,4390.0,4350.0,4700.0,5080.0,4980.0,4740.0,5020.0,5510.0,5990.0,7230.0,7360.0,7910.0,7910.0,7910.0
Burkina Faso,BFA,CO2 emissions (kt),EN.ATM.CO2E.KT,590.0,600.0,610.0,620.0,620.0,640.0,720.0,820.0,880.0,930.0,1050.0,1020.0,1020.0,1100.0,1130.0,1150.0,1400.0,1680.0,1910.0,1930.0,2090.0,2200.0,2710.0,2970.0,3020.0,3400.0,3500.0,4070.0,4270.0,4270.0,4270.0
Bangladesh,BGD,CO2 emissions (kt),EN.ATM.CO2E.KT,11520.0,10830.0,11820.0,12570.0,13540.0,16550.0,16820.0,18970.0,19250.0,20110.0,21650.0,25780.0,27430.0,28630.0,30530.0,32710.0,35900.0,37990.0,41580.0,44750.0,50580.0,54420.0,57990.0,60580.0,63800.0,71690.0,73740.0,78710.0,82760.0,82760.0,82760.0
Bulgaria,BGR,CO2 emissions (kt),EN.ATM.CO2E.KT,73560.0,58610.0,55130.0,55670.0,53520.0,54690.0,55060.0,53370.0,50590.0,44300.0,43330.0,46180.0,43630.0,47890.0,47180.0,47880.0,48970.0,52620.0,50030.0,42970.0,44850.0,49670.0,45120.0,39820.0,42230.0,44690.0,41740.0,44040.0,41130.0,41130.0,41130.0
Bahrain,BHR,CO2 emissions (kt),EN.ATM.CO2E.KT,10740.0,10350.0,12270.0,13070.0,13370.0,13540.0,14170.0,14420.0,15510.0,15450.0,15880.0,16390.0,17220.0,17960.0,17930.0,20700.0,22500.0,23010.0,24770.0,24730.0,25980.0,26030.0,26570.0,28760.0,30220.0,30600.0,30200.0,30380.0,30750.0,30750.0,30750.0
"Bahamas, The",BHS,CO2 emissions (kt),EN.ATM.CO2E.KT,1780.0,1880.0,2530.0,2100.0,2040.0,2080.0,1970.0,1770.0,2270.0,2230.0,2140.0,2130.0,2280.0,2250.0,2160.0,2020.0,2020.0,2070.0,2110.0,6020.0,2080.0,2420.0,3640.0,3110.0,2620.0,2370.0,2190.0,2150.0,2260.0,2260.0,2260.0
Bosnia and Herzegovina,BIH,CO2 emissions (kt),EN.ATM.CO2E.KT,23970.0,21440.0,15970.0,13400.0,3160.0,3370.0,4190.0,8490.0,10760.0,10520.0,13950.0,13760.0,14560.0,14860.0,15570.0,16230.0,17910.0,18890.0,20760.0,20590.0,20840.0,23740.0,21960.0,21850.0,19490.0,19610.0,22340.0,22650.0,22540.0,22540.0,22540.0
